prec_county,P00003392,P60012234,P80001571
MOUNTAIN13295,132,23,566
MOUNTAINTOWN13123,106,17,576
MOUNTVILLE13285,391,21,771
MP0113121,161,20,151
MT ALTO NORTH13115,1005,84,1384
MT ALTO SOUTH13115,832,82,1338
MT TABOR PARK13223,1351,201,4231
MT VIEW13143,12,1,170
MT. BETHEL13151,485,48,1595
MULBERRY GROVE13145,317,41,1617
MURPHY13113,883,68,1215
NEBO ELEMENTARY SCH13223,1054,143,3606
NEESE13057,1286,247,2842
NELSON13227,118,25,750
NEW HOME13083,45,13,348
NEW SALEM13083,140,27,590
NEWNAN13077,1043,64,696
NI13313,222,36,1164
NOONTOOTLA13111,94,2,443
NORTH CAROLINA13115,168,21,789
NORTH DADE13083,226,34,815
NORTH DECATUR13089,865,51,157
NORTH HAIRSTON13089,1075,24,121
NORTH HAMPTON13151,2058,118,1771
NORTH ROME13115,844,52,906
NORTH13213,134,29,1084
NORTHLAKE13089,690,64,319
NORTHSIDE ELEM SCH13223,268,36,1242
NORTHSIDE13077,473,60,1031
NORTHSIDE13285,631,38,997
NSES13153,521,28,1002
OAK 113063,1089,15,36
